Pais;Periodo;PartosAtendidos
Azerbaijan;2006;88.6
Azerbaijan;2007;93.0
Azerbaijan;2008;98.0
Azerbaijan;2009;99.8
Azerbaijan;2010;99.4
Azerbaijan;2011;97.2
Azerbaijan;2012;99.8
Azerbaijan;2013;99.9
Azerbaijan;2014;99.9
Azerbaijan;2015;99.8
Azerbaijan;2016;99.8
Azerbaijan;2017;99.8
Azerbaijan;2018;99.4
Azerbaijan;2019;99.9
Azerbaijan;2020;99.9
Azerbaijan;2021;99.9
Bahamas;2000;99.0
Bahamas;2001;99.0
Bahamas;2002;99.0
Bahamas;2003;99.0
Bahamas;2004;98.0
Bahamas;2005;98.7
Bahamas;2006;99.0
Bahamas;2007;98.4
Bahamas;2008;98.5
Bahamas;2009;98.9
Bahamas;2010;99.1
Bahamas;2011;99.1
Bahamas;2012;98.9
Bahamas;2013;98.6
Bahamas;2014;98.9
Bahamas;2015;98.0
Bahamas;2016;99.0
Bahamas;2018;99.0
Bahamas;2019;99.0
Bahrain;2000;97.7
Bahrain;2001;97.5
Bahrain;2002;97.6
Bahrain;2003;97.8
Bahrain;2004;97.7
Bahrain;2005;97.5
Bahrain;2006;97.5
Bahrain;2007;97.4
Bahrain;2008;97.5
Bahrain;2009;99.4
Bahrain;2010;99.3
Bahrain;2011;99.6
Bahrain;2012;99.8
Bahrain;2013;99.8
Bahrain;2014;99.8
Bahrain;2015;99.9
Bahrain;2016;99.7
Bahrain;2017;99.9
Bahrain;2018;99.6
Bahrain;2019;99.6
Bangladesh;2001;12.0
Bangladesh;2003;13.9
Bangladesh;2004;13.2
Bangladesh;2006;20.1
Bangladesh;2007;18.0
Bangladesh;2010;26.5
Bangladesh;2011;31.7
Bangladesh;2014;42.1
Bangladesh;2016;49.8
Bangladesh;2017;67.8
Bangladesh;2019;59.0
Barbados;2000;98.0
Barbados;2002;100.0
Barbados;2003;100.0
Barbados;2004;100.0
Barbados;2005;100.0
Barbados;2006;100.0
Barbados;2007;100.0
Barbados;2008;100.0
Barbados;2009;100.0
Barbados;2011;100.0
Barbados;2012;98.9
Barbados;2013;98.6
Barbados;2014;99.8
Barbados;2015;99.0
Barbados;2016;99.1
Barbados;2018;99.0
Barbados;2019;98.0
Barbados;2020;98.4
Belarus;2000;99.9
Belarus;2001;99.9
Belarus;2002;99.9
Belarus;2003;99.9
Belarus;2004;99.9
Belarus;2005;100.0
Belarus;2006;99.9
Belarus;2007;99.9
Belarus;2008;99.9
Belarus;2009;99.9
Belarus;2010;99.9
Belarus;2011;99.8
Belarus;2012;100.0
Belarus;2013;99.8
Belarus;2014;99.8
Belarus;2019;99.9
Belarus;2020;99.9
Belize;2000;90.2
Belize;2002;97.0
Belize;2004;87.8
Belize;2005;89.3
Belize;2006;95.8
Belize;2007;90.7
Belize;2008;94.9
Belize;2009;93.5
Belize;2010;94.0
Belize;2011;96.2
Belize;2012;93.7
Belize;2013;93.0
Belize;2014;93.1
Belize;2015;93.5
Belize;2017;95.3
Belize;2018;94.8
Belize;2019;95.3
Belize;2020;94.6
Benin;2001;65.5
Benin;2006;74.0
Benin;2014;77.2
Bermuda;2018;99.4
Bhutan;2000;27.3
Bhutan;2003;56.1
Bhutan;2005;52.3
Bhutan;2006;57.1
Bhutan;2007;71.4
Bhutan;2008;66.3
Bhutan;2009;66.0
Bhutan;2010;64.5
Bhutan;2011;70.0
Bhutan;2012;74.6
Bhutan;2013;89.0
Bhutan;2014;89.0
Bhutan;2015;89.0
Bhutan;2016;89.0
Bhutan;2017;96.4
Bhutan;2018;96.2
Bhutan;2019;96.3
Bhutan;2020;99.3
Bhutan;2021;98.9
Bolivia ;2000;67.3
Bolivia ;2002;65.1
Bolivia ;2008;71.1
Bolivia ;2011;84.0
Bolivia ;2012;82.1
Bolivia ;2013;84.2
Bolivia ;2014;83.9
Bolivia ;2015;88.8
Bolivia ;2016;89.8
Bolivia ;2019;81.1
Bosnia and Herzegovina;2000;98.9
Bosnia and Herzegovina;2001;99.9
Bosnia and Herzegovina;2002;99.9
Bosnia and Herzegovina;2003;99.9
Bosnia and Herzegovina;2004;99.9
Bosnia and Herzegovina;2005;99.9
Bosnia and Herzegovina;2006;99.4
Bosnia and Herzegovina;2007;99.9
Bosnia and Herzegovina;2008;99.9
Bosnia and Herzegovina;2009;99.9
Bosnia and Herzegovina;2010;99.9
Bosnia and Herzegovina;2011;99.9
Bosnia and Herzegovina;2014;99.9
Bosnia and Herzegovina;2015;99.9
Bosnia and Herzegovina;2016;99.9
Bosnia and Herzegovina;2017;99.9
Bosnia and Herzegovina;2018;99.9
Bosnia and Herzegovina;2019;99.9
Botswana;2000;98.5
Botswana;2001;92.0
Botswana;2002;96.5
Botswana;2003;96.1
Botswana;2004;97.3
Botswana;2005;94.0
Botswana;2006;99.3
Botswana;2007;94.6
Botswana;2008;98.3
Botswana;2009;99.5
Botswana;2010;99.1
Botswana;2011;99.8
Botswana;2012;99.8
Botswana;2013;99.9
Botswana;2014;99.5
Botswana;2015;99.7
Botswana;2016;99.7
Botswana;2017;99.8
Brazil;2000;98.6
Brazil;2001;98.3
Brazil;2002;98.5
Brazil;2003;98.4
Brazil;2004;98.6
Brazil;2005;98.6
Brazil;2006;97.0
Brazil;2007;98.6
Brazil;2008;98.8
Brazil;2009;98.9
Brazil;2010;98.9
Brazil;2011;99.0
Brazil;2012;99.0
Brazil;2013;98.0
Brazil;2014;98.4
Brazil;2015;98.2
Brazil;2016;98.6
Brazil;2017;98.7
Brazil;2018;98.8
Brazil;2019;98.4
Brazil;2020;98.4
Brunei Darussalam;2000;99.2
Brunei Darussalam;2001;99.7
Brunei Darussalam;2002;99.6
Brunei Darussalam;2003;99.6
Brunei Darussalam;2004;99.6
Brunei Darussalam;2005;99.7
Brunei Darussalam;2006;99.7
Brunei Darussalam;2007;99.9
Brunei Darussalam;2008;99.7
Brunei Darussalam;2009;99.9
Brunei Darussalam;2010;99.8
Brunei Darussalam;2011;99.7
Brunei Darussalam;2012;99.8
Brunei Darussalam;2013;99.7
Brunei Darussalam;2014;99.9
Brunei Darussalam;2015;100.0
Brunei Darussalam;2016;100.0
Brunei Darussalam;2017;99.8
Brunei Darussalam;2018;99.8
Brunei Darussalam;2019;99.6
Brunei Darussalam;2020;99.7
Brunei Darussalam;2021;99.6
Bulgaria;2000;99.8
Bulgaria;2001;98.9
Bulgaria;2002;99.2
Bulgaria;2003;99.2
Bulgaria;2004;99.4
Bulgaria;2005;99.4
Bulgaria;2006;99.4
Bulgaria;2007;99.6
Bulgaria;2008;99.6
Bulgaria;2009;99.6
Bulgaria;2010;99.5
Bulgaria;2013;99.7
Bulgaria;2014;99.7
Bulgaria;2015;93.4
Bulgaria;2016;95.1
Bulgaria;2017;93.9
Bulgaria;2018;93.0
Bulgaria;2019;92.3
Bulgaria;2020;94.6
Bulgaria;2021;94.5
Burkina Faso;2003;37.8
Burkina Faso;2006;53.5
Burkina Faso;2010;65.9
Burkina Faso;2015;79.8
Burundi;2000;25.2
Burundi;2005;31.8
Burundi;2010;60.3
Burundi;2012;78.4
Burundi;2016;77.6
Burundi;2017;79.1
Burundi;2018;86.2
Burundi;2019;98.6
Burundi;2020;87.4
Burundi;2021;76.5
Cabo Verde;2005;77.5
Cabo Verde;2006;76.4
Cabo Verde;2007;74.4
Cabo Verde;2008;74.6
Cabo Verde;2009;75.6
Cabo Verde;2010;98.5
Cabo Verde;2011;98.7
Cabo Verde;2013;92.3
Cabo Verde;2014;95.6
Cabo Verde;2015;91.4
Cabo Verde;2016;92.6
Cabo Verde;2017;92.4
Cabo Verde;2018;97.3
Cambodia;2000;31.8
Cambodia;2004;16.3
Cambodia;2014;89.0
Cameroon;2000;56.0
Cameroon;2004;58.9
Cameroon;2006;58.9
Cameroon;2011;56.1
Cameroon;2014;64.7
Cameroon;2018;69.0
Canada;2000;99.3
Canada;2001;99.3
Canada;2002;99.3
Canada;2003;98.9
Canada;2004;99.0
Canada;2005;98.8
Canada;2006;100.0
Canada;2007;98.8
Canada;2008;98.7
Canada;2009;98.6
Canada;2010;98.5
Canada;2011;98.4
Canada;2012;98.1
Canada;2013;98.0
Canada;2014;97.9
Canada;2015;97.9
Canada;2016;97.8
Canada;2017;97.9
Canada;2018;98.0
Canada;2019;98.0
Canada;2020;98.0
Central African Republic;2000;31.7
Central African Republic;2006;41.4
Central African Republic;2008;43.7
Central African Republic;2010;40.0
Chad;2000;13.7
Chad;2004;14.4
Chad;2010;16.6
Chad;2019;47.2
Chile;2000;99.8
Chile;2001;99.8
Chile;2002;99.8
Chile;2003;99.8
Chile;2004;99.8
Chile;2005;99.8
Chile;2006;99.8
Chile;2007;99.7
Chile;2008;99.8
Chile;2009;99.8
Chile;2010;99.8
Chile;2011;99.9
Chile;2012;99.8
Chile;2013;99.8
Chile;2014;99.8
Chile;2015;99.7
Chile;2016;99.7
Chile;2017;99.8
Chile;2018;99.8
Chile;2019;99.8
China;2000;96.6
China;2001;97.3
China;2002;96.7
China;2003;95.9
China;2004;97.3
China;2005;97.5
China;2006;97.8
China;2007;98.4
China;2008;99.1
China;2009;99.3
China;2010;99.6
China;2011;99.7
China;2012;99.8
China;2013;99.9
China;2014;99.9
China;2015;99.9
China;2016;99.9
Colombia;2000;86.1
Colombia;2001;93.1
Colombia;2002;94.5
Colombia;2003;95.0
Colombia;2004;95.6
Colombia;2006;97.1
Colombia;2007;97.8
Colombia;2008;98.1
Colombia;2009;98.6
Colombia;2010;94.8
Colombia;2011;99.2
Colombia;2012;98.7
Colombia;2013;98.7
Colombia;2014;98.9
Colombia;2015;99.0
Colombia;2017;99.3
Colombia;2018;98.4
Colombia;2019;98.8
Comoros;2000;61.8
Comoros;2012;82.2
Congo;2005;83.4
Cook Islands;2000;98.0
Cook Islands;2005;100.0
Cook Islands;2008;100.0
Cook Islands;2009;100.0
Costa Rica;2001;98.0
Costa Rica;2002;98.5
Costa Rica;2003;98.2
Costa Rica;2004;98.5
Costa Rica;2005;98.5
Costa Rica;2006;98.6
Costa Rica;2007;98.7
Costa Rica;2008;99.1
Costa Rica;2009;99.1
Costa Rica;2010;95.3
Costa Rica;2011;98.4
Costa Rica;2012;98.9
Costa Rica;2013;99.0
Costa Rica;2014;99.2
Costa Rica;2015;90.0
Costa Rica;2016;98.8
Costa Rica;2017;98.7
Costa Rica;2018;98.5
Costa Rica;2019;99.0
Côte d’Ivoire;2000;62.8
Côte d’Ivoire;2005;55.1
Côte d’Ivoire;2006;56.8
Côte d’Ivoire;2016;73.6
Côte d’Ivoire;2021;84.0
Croatia;2000;99.9
Croatia;2001;99.9
Croatia;2002;99.9
Croatia;2003;99.9
Croatia;2004;99.9
Croatia;2005;99.9
Croatia;2006;99.9
Croatia;2007;99.9
Croatia;2008;99.9
Croatia;2009;99.9
Croatia;2010;99.9
Croatia;2011;99.9
Croatia;2012;99.9
Croatia;2013;99.9
Croatia;2014;99.9
Croatia;2015;99.9
Croatia;2016;99.9
Croatia;2017;99.9
Croatia;2019;99.9
Cuba;2000;99.9
Cuba;2001;99.9
Cuba;2002;99.9
Cuba;2003;99.9
Cuba;2004;99.9
Cuba;2005;99.9
Cuba;2006;99.9
Cuba;2007;99.9
Cuba;2008;99.9
Cuba;2009;99.9
Cuba;2010;99.9
Cuba;2011;99.9
Cuba;2012;99.9
Cuba;2013;99.9
Cuba;2014;99.4
Cuba;2015;99.9
Cuba;2016;99.9
Cuba;2017;99.9
Cuba;2018;99.9
Cuba;2019;100.0
Cyprus;2000;97.9
Cyprus;2004;95.7
Cyprus;2005;99.3
Cyprus;2006;98.5
Cyprus;2007;98.3
Cyprus;2008;97.2
Cyprus;2009;98.3
Cyprus;2010;98.6
Cyprus;2011;98.3
Cyprus;2012;98.7
Cyprus;2013;99.9
Cyprus;2014;97.4
Cyprus;2015;97.1
Cyprus;2016;95.6
Cyprus;2017;96.0
Cyprus;2018;98.3
Cyprus;2019;99.3
Czechia;2000;99.8
Czechia;2001;99.8
Czechia;2002;99.8
Czechia;2003;99.8
Czechia;2004;99.8
Czechia;2005;99.8
Czechia;2006;99.7
Czechia;2007;99.7
Czechia;2008;99.6
Czechia;2009;99.6
Czechia;2010;99.7
Czechia;2011;99.9
Czechia;2012;99.9
Czechia;2013;99.8
Czechia;2014;99.8
Czechia;2017;99.8
Korea Del Norte;2000;96.7
Korea Del Norte;2004;97.1
Korea Del Norte;2009;100.0
Korea Del Norte;2017;99.5
Congo;2001;60.7
Congo;2007;64.4
Congo;2010;74.1
Congo;2014;80.1
Denmark;2000;98.8
Denmark;2001;98.9
Denmark;2002;98.8
Denmark;2003;98.9
Denmark;2004;98.6
Denmark;2005;98.8
Denmark;2006;98.7
Denmark;2007;97.8
Denmark;2009;98.7
Denmark;2010;98.5
Denmark;2011;98.5
Denmark;2012;98.2
Denmark;2013;96.3
Denmark;2014;95.9
Denmark;2015;95.4
Denmark;2016;94.4
Denmark;2017;95.1
Denmark;2018;95.3
Djibouti;2003;60.6
Djibouti;2006;78.4
Djibouti;2012;87.4
Dominica;2000;100.0
Dominica;2002;100.0
Dominica;2003;100.0
Dominica;2004;100.0
Dominica;2005;99.0
Dominica;2007;94.0
Dominica;2008;100.0
Dominica;2009;100.0
Dominica;2010;100.0
Dominica;2011;100.0
Dominica;2012;100.0
Dominica;2013;100.0
Dominica;2014;100.0
Dominica;2015;100.0
Dominica;2016;100.0
Dominica;2017;100.0
Dominica;2018;100.0
Dominica;2019;100.0
Dominica;2020;100.0
Dominican Republic;2000;97.6
Dominican Republic;2002;97.8
Dominican Republic;2006;95.5
Dominican Republic;2007;97.8
Dominican Republic;2011;98.7
Dominican Republic;2012;98.8
Dominican Republic;2013;98.6
Dominican Republic;2014;98.6
Dominican Republic;2015;99.6
Dominican Republic;2016;99.8
Dominican Republic;2017;99.8
Dominican Republic;2018;99.7
Dominican Republic;2019;99.2
Ecuador;2000;70.9
Ecuador;2001;71.4
Ecuador;2002;73.7
Ecuador;2003;75.1
Ecuador;2004;76.4
Ecuador;2005;78.5
Ecuador;2006;80.6
Ecuador;2007;82.0
Ecuador;2008;84.0
Ecuador;2009;85.6
Ecuador;2010;87.4
Ecuador;2011;89.7
Ecuador;2012;91.7
Ecuador;2013;93.3
Ecuador;2014;94.7
Ecuador;2015;94.2
Ecuador;2016;94.1
Ecuador;2017;95.6
Ecuador;2018;95.9
Ecuador;2019;97.2
Ecuador;2020;99.4
Egypt;2000;60.9
Egypt;2003;69.4
Egypt;2005;74.2
Egypt;2008;78.9
Egypt;2014;91.5
Egypt;2021;97.1
El Salvador;2005;87.2
El Salvador;2006;89.6
El Salvador;2007;93.1
El Salvador;2008;95.5
El Salvador;2009;97.5
El Salvador;2010;98.0
El Salvador;2011;99.0
El Salvador;2012;99.5
El Salvador;2013;99.8
El Salvador;2014;98.0
El Salvador;2015;99.9
El Salvador;2016;99.9
El Salvador;2017;99.9
El Salvador;2018;99.9
Equatorial Guinea;2000;64.6
Equatorial Guinea;2011;68.3
Eritrea;2002;28.3
Eritrea;2010;34.1
Estonia;2000;99.6
Estonia;2001;99.6
Estonia;2002;99.6
Estonia;2003;99.5
Estonia;2004;99.8
Estonia;2005;99.7
Estonia;2006;99.7
Estonia;2007;99.7
Estonia;2008;99.7
Estonia;2009;99.7
Estonia;2010;99.8
Estonia;2011;99.7
Estonia;2012;99.8
Estonia;2013;99.7
Estonia;2014;99.7
Estonia;2015;99.7
Estonia;2016;99.7
Estonia;2017;99.5
Estonia;2018;99.6
Estonia;2019;99.7
Estonia;2020;99.6
Eswatini;2000;65.4
Eswatini;2002;74.0
Eswatini;2010;82.0
Eswatini;2014;88.3
Ethiopia;2000;5.6
Ethiopia;2004;6.4
Ethiopia;2005;5.7
Ethiopia;2014;15.5
Ethiopia;2016;27.7
Ethiopia;2019;49.8
Fiji;2000;96.9
Fiji;2001;98.4
Fiji;2002;96.9
Fiji;2003;96.7
Fiji;2004;97.0
Fiji;2005;97.2
Fiji;2006;99.3
Fiji;2007;99.0
Fiji;2008;98.8
Fiji;2009;99.8
Fiji;2010;99.7
Fiji;2011;99.6
Fiji;2012;99.3
Fiji;2013;98.8
Fiji;2014;99.7
Fiji;2015;99.9
Fiji;2016;99.8
Fiji;2021;99.8
Finland;2000;99.9
Finland;2001;99.9
Finland;2002;99.9
Finland;2003;99.9
Finland;2004;99.8
Finland;2005;99.9
Finland;2006;99.8
Finland;2007;99.8
Finland;2008;99.8
Finland;2009;99.8
Finland;2010;99.8
Finland;2011;99.8
Finland;2012;99.8
Finland;2013;99.7
Finland;2014;99.7
Finland;2015;99.7
Finland;2016;99.6
Finland;2017;99.6
Finland;2018;99.6
Finland;2019;99.5
Finland;2020;99.6
Finland;2021;99.5
France;2001;99.6
France;2004;98.0
France;2005;97.9
France;2006;98.3
France;2007;98.1
France;2008;98.0
France;2009;97.9
France;2010;97.5
France;2011;96.2
France;2012;97.1
France;2013;98.3
France;2014;98.3
France;2015;97.7
France;2016;97.4
France;2017;98.0
France;2018;98.1
France;2019;97.6
France;2020;98.2
Gabon;2012;89.3
Gambia;2000;51.6
Gambia;2010;56.1
Gambia;2013;57.2
Gambia;2018;82.7
Georgia;2000;95.5
Georgia;2001;96.6
Georgia;2002;97.4
Georgia;2003;97.2
Georgia;2004;97.5
Georgia;2005;98.3
Georgia;2006;98.8
Georgia;2007;99.4
Georgia;2008;99.6
Georgia;2009;99.7
Georgia;2010;99.6
Georgia;2011;99.8
Georgia;2012;99.8
Georgia;2013;99.9
Georgia;2014;99.9
Georgia;2015;99.9
Georgia;2016;99.9
Georgia;2017;99.9
Georgia;2018;99.8
Georgia;2019;99.8
Georgia;2020;99.8
Georgia;2021;99.8
Germany;2000;98.6
Germany;2001;98.6
Germany;2002;98.6
Germany;2003;98.6
Germany;2004;98.2
Germany;2005;98.2
Germany;2006;98.4
Germany;2007;98.4
Germany;2008;98.5
Germany;2009;98.3
Germany;2010;96.8
Germany;2011;96.9
Germany;2012;97.0
Germany;2013;96.9
Germany;2014;96.9
Germany;2015;97.1
Germany;2016;96.2
Germany;2017;97.1
Germany;2018;96.2
Germany;2019;96.2
Ghana;2003;47.1
Ghana;2006;49.7
Ghana;2007;55.2
Ghana;2008;54.7
Ghana;2011;67.2
Ghana;2014;70.8
Ghana;2017;78.1
Greece;2000;99.9
Greece;2001;100.0
Greece;2002;100.0
Greece;2003;100.0
Greece;2004;100.0
Greece;2005;100.0
Greece;2006;100.0
Greece;2007;100.0
Greece;2008;100.0
Greece;2009;100.0
Greece;2010;100.0
Greece;2011;100.0
Greece;2012;99.9
Greece;2013;99.9
Greece;2014;99.9
Greece;2015;99.9
Greece;2016;99.9
Greece;2017;99.9
Greece;2018;99.9
Grenada;2000;100.0
Grenada;2003;100.0
Grenada;2005;100.0
Grenada;2007;98.8
Grenada;2009;100.0
Grenada;2011;100.0
Grenada;2012;99.0
Grenada;2013;99.0
Grenada;2014;99.0
Grenada;2015;99.0
Grenada;2016;99.3
Grenada;2017;100.0
Guatemala;2000;41.4
Guatemala;2001;41.4
Guatemala;2002;41.4
Guatemala;2007;31.4
Guatemala;2010;52.3
Guatemala;2012;58.7
Guatemala;2013;62.8
Guatemala;2014;67.0
Guatemala;2016;69.8
Guatemala;2017;69.6
Guinea;2003;48.7
Guinea;2005;38.0
Guinea;2012;45.3
Guinea;2016;62.7
Guinea;2018;55.3
Guinea-Bissau;2000;31.8
Guinea-Bissau;2006;31.0
Guinea-Bissau;2010;43.0
Guinea-Bissau;2014;45.0
Guyana;2000;82.9
Guyana;2001;93.8
Guyana;2004;95.9
Guyana;2005;96.7
Guyana;2006;96.6
Guyana;2008;96.0
Guyana;2009;87.4
Guyana;2012;97.3
Guyana;2013;98.3
Guyana;2014;85.7
Guyana;2015;95.8
Guyana;2016;94.3
Guyana;2017;96.7
Guyana;2018;95.1
Guyana;2019;95.0
Haiti;2000;23.8
Haiti;2005;26.1
Haiti;2012;37.3
Haiti;2013;48.6
Honduras;2001;55.7
Honduras;2015;72.0
Honduras;2016;79.0
Honduras;2017;74.0
Honduras;2019;94.1
Hungary;2000;99.5
Hungary;2001;99.6
Hungary;2002;99.6
Hungary;2003;99.6
Hungary;2004;99.6
Hungary;2005;99.6
Hungary;2006;99.7
Hungary;2007;99.6
Hungary;2008;99.5
Hungary;2009;99.6
Hungary;2010;99.1
Hungary;2011;99.0
Hungary;2012;99.0
Hungary;2013;99.1
Hungary;2014;99.2
Hungary;2015;99.6
Hungary;2016;99.7
Hungary;2017;99.7
Iceland;2000;99.3
Iceland;2001;99.5
Iceland;2002;99.4
Iceland;2003;99.4
Iceland;2004;99.4
Iceland;2005;99.0
Iceland;2006;98.9
Iceland;2007;98.9
Iceland;2008;98.7
Iceland;2009;98.8
Iceland;2010;98.2
Iceland;2011;97.9
Iceland;2012;97.8
Iceland;2013;98.1
Iceland;2014;97.8
Iceland;2015;98.2
Iceland;2016;97.9
Iceland;2017;98.0
Iceland;2018;98.2
Iceland;2019;98.3
Iceland;2020;97.4
India;2000;42.5
Indonesia;2007;73.0
Indonesia;2012;83.1
Indonesia;2013;87.4
Indonesia;2016;92.6
Indonesia;2017;90.9
Indonesia;2018;93.6
Indonesia;2019;94.7
Iran;2000;89.6
Iran;2005;97.3
Iran;2009;97.7
Iran;2010;96.4
Iran;2011;98.5
Iran;2012;98.8
Iran;2013;98.8
Iran;2014;99.0
Iraq;2000;65.2
Iraq;2006;88.5
Iraq;2011;90.9
Iraq;2012;70.4
Iraq;2018;95.6
Ireland;2000;99.6
Ireland;2001;99.6
Ireland;2002;99.5
Ireland;2003;99.6
Ireland;2004;99.7
Ireland;2005;99.7
Ireland;2006;99.7
Ireland;2007;99.7
Ireland;2008;99.8
Ireland;2009;99.8
Ireland;2010;99.8
Ireland;2011;99.8
Ireland;2012;99.8
Ireland;2013;99.8
Ireland;2014;99.7
Ireland;2015;99.7
Ireland;2016;99.7
Ireland;2017;99.7
Italy;2002;99.6
Italy;2003;99.6
Italy;2004;99.8
Italy;2005;99.8
Italy;2006;99.8
Italy;2007;99.6
Italy;2008;99.8
Italy;2009;99.8
Italy;2010;99.9
Italy;2011;99.9
Italy;2013;99.9
Italy;2014;99.9
Italy;2015;99.9
Italy;2016;99.9
Italy;2017;99.9
Italy;2018;99.9
Italy;2019;99.8
Italy;2020;99.8
Jamaica;2000;95.9
Jamaica;2002;96.9
Jamaica;2005;96.7
Jamaica;2007;93.0
Jamaica;2010;95.3
Jamaica;2011;99.1
Jamaica;2012;99.5
Jamaica;2013;99.7
Jamaica;2014;99.7
Jamaica;2015;99.7
Jamaica;2016;99.7
Jamaica;2017;99.7
Jamaica;2018;99.7
Japan;2000;99.8
Japan;2001;99.8
Japan;2002;99.8
Japan;2003;99.8
Japan;2004;99.8
Japan;2005;99.8
Japan;2006;99.8
Japan;2007;99.8
Japan;2008;99.8
Japan;2009;99.8
Japan;2010;99.8
Japan;2011;99.8
Japan;2012;99.8
Japan;2014;99.8
Japan;2015;99.9
Japan;2016;99.8
Japan;2017;99.9
Japan;2018;99.9
Japan;2019;99.9
Japan;2020;99.9
Japan;2021;99.8
Jordan;2002;99.5
Jordan;2007;99.1
Jordan;2012;99.6
Kazakhstan;2000;98.3
Kazakhstan;2001;98.5
Kazakhstan;2002;98.9
Kazakhstan;2003;99.4
Kazakhstan;2004;99.4
Kazakhstan;2005;99.4
Kazakhstan;2006;99.8
Kazakhstan;2008;99.3
Kazakhstan;2009;99.4
Kazakhstan;2010;99.4
Kazakhstan;2012;100.0
Kazakhstan;2013;100.0
Kazakhstan;2014;100.0
Kazakhstan;2015;99.4
Kazakhstan;2016;99.9
Kazakhstan;2017;99.9
Kazakhstan;2018;99.9
Kenya;2000;42.6
Kenya;2003;41.6
Kenya;2014;61.8
Kiribati;2000;85.0
Kiribati;2002;76.0
Kiribati;2005;63.0
Kiribati;2008;65.0
Kiribati;2009;79.8
Kiribati;2010;98.3
Kuwait;2004;98.3
Kuwait;2005;98.6
Kuwait;2006;98.7
Kuwait;2007;98.7
Kuwait;2008;98.7
Kuwait;2009;98.7
Kuwait;2010;98.6
Kuwait;2011;98.8
Kuwait;2012;98.8
Kuwait;2013;98.7
Kuwait;2014;98.7
Kuwait;2015;99.9
Kuwait;2016;99.9
Kuwait;2017;99.9
Kuwait;2018;99.9
Kuwait;2019;99.9
Kyrgyzstan;2000;98.6
Kyrgyzstan;2001;98.7
Kyrgyzstan;2002;98.8
Kyrgyzstan;2003;98.9
Kyrgyzstan;2004;98.2
Kyrgyzstan;2005;97.9
Kyrgyzstan;2007;98.4
Kyrgyzstan;2008;98.5
Kyrgyzstan;2009;98.5
Kyrgyzstan;2010;98.3
Kyrgyzstan;2011;98.6
Kyrgyzstan;2012;99.1
