signal_id,label,station_id,duration_seconds,sample_rate_hz,public_reference,proxy_definition,split,sample_index,signal_mean,signal_std
noi_0041,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,41,4.7683714754498405e-09,1.0
noi_0042,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,42,2.543131571997037e-08,1.0
noi_0043,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,43,6.357828929992593e-09,1.0
noi_0044,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,44,0.0,1.0
noi_0045,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,45,6.357828929992593e-09,1.0
noi_0046,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,46,0.0,1.0
noi_0047,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,47,0.0,1.0
noi_0048,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,48,0.0,1.0
noi_0049,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,49,0.0,1.0
noi_0050,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,50,-1.589457232498148e-09,1.0
noi_0051,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,51,0.0,1.0
noi_0052,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,52,1.2715657859985184e-08,1.0
noi_0053,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,53,0.0,1.0
noi_0054,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,54,-2.543131571997037e-08,1.0
noi_0055,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,55,0.0,1.0
noi_0056,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,56,0.0,1.0
noi_0057,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,57,-6.357828929992593e-09,1.0
noi_0058,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,58,0.0,1.0
noi_0059,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,59,-1.2715657859985184e-08,1.0
noi_0060,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,60,-1.2715657859985184e-08,1.0
noi_0061,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,61,-6.357828929992593e-09,1.0
noi_0062,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,62,0.0,0.9999999403953552
noi_0063,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,63,1.2715657859985184e-08,1.0
noi_0064,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,64,6.357828929992593e-09,1.0
noi_0065,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,65,-1.2715657859985184e-08,1.0
noi_0066,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,66,6.357828929992593e-09,1.0
noi_0067,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,67,-1.2715657859985184e-08,1.0
noi_0068,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,68,0.0,1.0
noi_0069,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,69,-2.543131571997037e-08,1.0
noi_0070,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,70,-2.543131571997037e-08,1.0
noi_0071,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,71,0.0,1.0
noi_0072,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,72,0.0,1.0
noi_0073,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,73,6.357828929992593e-09,1.0
noi_0074,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,74,0.0,1.0
noi_0075,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,75,-1.2715657859985184e-08,1.0
noi_0076,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,76,3.178914464996296e-09,1.0
noi_0077,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,77,1.2715657859985184e-08,1.0
noi_0078,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,78,6.357828929992593e-09,1.0
noi_0079,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,79,1.2715657859985184e-08,1.0
noi_0080,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,80,6.357828929992593e-09,1.0
noi_0081,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,81,3.178914464996296e-09,1.0
noi_0082,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,82,0.0,1.0
noi_0083,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,83,0.0,1.0
noi_0084,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,84,-1.2715657859985184e-08,1.0
noi_0085,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,85,1.2715657859985184e-08,1.0
noi_0086,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,86,-9.536742950899681e-09,1.0
noi_0087,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,87,-2.543131571997037e-08,1.0
noi_0088,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,88,0.0,1.0
noi_0089,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,89,1.2715657859985184e-08,0.9999999403953552
noi_0090,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,90,-2.543131571997037e-08,1.0
noi_0091,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,91,-1.2715657859985184e-08,1.0
noi_0092,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,92,0.0,1.0
noi_0093,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,93,0.0,1.0
noi_0094,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,94,0.0,1.0
noi_0095,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,95,6.357828929992593e-09,1.0
noi_0096,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,96,-2.543131571997037e-08,1.0
noi_0097,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,97,0.0,1.0
noi_0098,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,98,1.9073485901799362e-08,1.0
noi_0099,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,99,0.0,1.0
noi_0100,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,100,-6.357828929992593e-09,1.0
noi_0101,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,101,0.0,1.0
noi_0102,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,102,0.0,1.0
noi_0103,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,103,-6.357828929992593e-09,1.0
noi_0104,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,104,1.589457232498148e-09,1.0
noi_0105,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,105,0.0,1.0
noi_0106,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,106,1.2715657859985184e-08,1.0
noi_0107,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,107,-3.178914464996296e-09,1.0
noi_0108,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,108,0.0,1.0
noi_0109,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,109,1.2715657859985184e-08,1.0
noi_0110,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,110,-3.178914464996296e-09,1.0
noi_0111,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,111,-6.357828929992593e-09,1.0
noi_0112,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,112,1.2715657859985184e-08,1.0
noi_0113,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,113,-6.357828929992593e-09,1.0
noi_0114,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,114,0.0,0.9999999403953552
noi_0115,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,115,-7.947286384535346e-09,1.0
noi_0116,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,116,0.0,1.0
noi_0117,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,117,2.3841857377249202e-09,1.0
noi_0118,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,118,-1.2715657859985184e-08,1.0
noi_0119,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,119,1.2715657859985184e-08,1.0
noi_0120,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,120,1.2715657859985184e-08,1.0
noi_0121,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,121,0.0,1.0
noi_0122,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,122,6.357828929992593e-09,1.0
noi_0123,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,123,-6.357828929992593e-09,1.0
noi_0124,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,124,0.0,1.0
noi_0125,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,125,-1.2715657859985184e-08,1.0
noi_0126,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,126,-1.2715657859985184e-08,1.0
noi_0127,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,127,0.0,1.0
noi_0128,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,128,-6.357828929992593e-09,1.0
noi_0129,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,129,0.0,1.0
noi_0130,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,130,5.086263143994074e-08,1.0
noi_0131,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,131,-1.9073485901799362e-08,1.0
noi_0132,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,132,-1.2715657859985184e-08,1.0
noi_0133,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,133,1.2715657859985184e-08,1.0
noi_0134,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,134,-1.2715657859985184e-08,1.0
noi_0135,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,135,-1.2715657859985184e-08,1.0
noi_0136,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,136,1.2715657859985184e-08,1.0
noi_0137,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,137,-6.357828929992593e-09,1.0
noi_0138,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,138,0.0,1.0
noi_0139,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,139,2.2252400810884865e-08,1.0
noi_0140,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,140,-1.2715657859985184e-08,1.0
noi_0141,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,141,1.2715657859985184e-08,1.0
noi_0142,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,142,1.2715657859985184e-08,1.0
noi_0143,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,143,-1.2715657859985184e-08,1.0
noi_0144,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,144,6.357828929992593e-09,1.0
noi_0145,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,145,0.0,1.0
noi_0146,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,146,0.0,1.0
noi_0147,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,147,2.543131571997037e-08,1.0
noi_0148,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,148,0.0,1.0
noi_0149,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,149,0.0,1.0
noi_0150,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,150,-1.9073485901799362e-08,1.0
noi_0151,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,151,1.2715657859985184e-08,1.0
noi_0152,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,152,6.357828929992593e-09,1.0
noi_0153,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,153,-9.536742950899681e-09,1.0
noi_0154,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,154,-1.9073485901799362e-08,1.0
noi_0155,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,155,-2.543131571997037e-08,0.9999999403953552
noi_0156,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,156,1.2715657859985184e-08,1.0
noi_0157,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,157,2.543131571997037e-08,1.0
noi_0158,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,158,0.0,1.0
noi_0159,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,159,0.0,1.0
noi_0160,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,160,2.543131571997037e-08,1.0
noi_0161,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,161,-1.2715657859985184e-08,1.0
noi_0162,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,162,2.543131571997037e-08,1.0
noi_0163,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,163,1.2715657859985184e-08,1.0
noi_0164,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,164,-1.2715657859985184e-08,1.0
noi_0165,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,165,-1.2715657859985184e-08,1.0
noi_0166,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,166,0.0,1.0
noi_0167,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,167,6.357828929992593e-09,1.0
noi_0168,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,168,3.178914464996296e-09,1.0
noi_0169,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,169,0.0,1.0
noi_0170,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,170,0.0,1.0
noi_0171,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,171,0.0,1.0
noi_0172,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,172,0.0,1.0
noi_0173,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,173,-6.357828929992593e-09,1.0
noi_0174,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,174,-1.2715657859985184e-08,1.0
noi_0175,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,175,-3.178914464996296e-09,1.0
noi_0176,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,176,1.1126200405442432e-08,1.0
noi_0177,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,177,0.0,1.0
noi_0178,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,178,-2.543131571997037e-08,1.0
noi_0179,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,179,0.0,1.0
noi_0180,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,180,0.0,1.0
noi_0181,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,181,-1.2715657859985184e-08,1.0
noi_0182,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,182,0.0,1.0
noi_0183,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,183,-6.357828929992593e-09,1.0
noi_0184,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,184,-1.2715657859985184e-08,1.0
noi_0185,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,185,9.536742950899681e-09,1.0
noi_0186,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,186,-3.178914464996296e-09,1.0
noi_0187,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,187,-9.536742950899681e-09,1.0
noi_0188,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,188,-6.357828929992593e-09,1.0
noi_0189,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,189,0.0,1.0
noi_0190,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,190,0.0,1.0
noi_0191,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,191,0.0,1.0
noi_0192,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,192,-6.357828929992593e-09,1.0
noi_0193,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,193,-1.2715657859985184e-08,0.9999999403953552
noi_0194,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,194,-1.2715657859985184e-08,1.0
noi_0195,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,195,1.2715657859985184e-08,1.0
noi_0196,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,196,1.589457232498148e-09,1.0
noi_0197,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,197,0.0,1.0
noi_0198,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,198,6.357828929992593e-09,1.0
noi_0199,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,199,-2.543131571997037e-08,1.0
noi_0200,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,200,1.2715657859985184e-08,1.0
noi_0201,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,201,3.178914464996296e-09,1.0
noi_0202,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,202,6.357828929992593e-09,1.0
noi_0203,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,203,-3.178914464996296e-09,1.0
noi_0204,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,204,0.0,1.0
noi_0205,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,205,0.0,0.9999999403953552
noi_0206,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,206,6.357828929992593e-09,1.0
noi_0207,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,207,-2.543131571997037e-08,1.0
noi_0208,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,208,1.2715657859985184e-08,1.0
noi_0209,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,209,0.0,0.9999999403953552
noi_0210,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,210,0.0,1.0
noi_0211,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,211,-6.357828929992593e-09,1.0
noi_0212,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,212,0.0,1.0
noi_0213,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,213,-1.2715657859985184e-08,1.0
noi_0214,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,214,4.7683714754498405e-09,1.0
noi_0215,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,215,0.0,1.0
noi_0216,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,216,0.0,1.0
noi_0217,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,217,1.2715657859985184e-08,1.0
noi_0218,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,218,6.357828929992593e-09,1.0
noi_0219,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,219,-2.543131571997037e-08,1.0
noi_0220,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,220,-6.357828929992593e-09,1.0
noi_0221,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,221,0.0,1.0
noi_0222,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,222,-6.357828929992593e-09,1.0
noi_0223,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,223,-6.357828929992593e-09,1.0
noi_0224,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,224,-1.2715657859985184e-08,1.0
noi_0225,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,225,6.357828929992593e-09,1.0
noi_0226,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,226,0.0,1.0
noi_0227,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,227,0.0,1.0
noi_0228,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,228,1.9073485901799362e-08,1.0
noi_0229,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,229,-6.357828929992593e-09,1.0
noi_0230,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,230,6.357828929992593e-09,1.0
noi_0231,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,231,6.357828929992593e-09,1.0
noi_0232,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,232,1.2715657859985184e-08,1.0
noi_0233,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,233,6.357828929992593e-09,1.0
noi_0234,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,234,-1.5894572769070692e-08,1.0
noi_0235,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,235,0.0,1.0
noi_0236,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,236,6.357828929992593e-09,1.0
noi_0237,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,237,0.0,1.0
noi_0238,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,238,-1.2715657859985184e-08,1.0
noi_0239,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,239,9.536742950899681e-09,1.0
mic_0000,microseisms,STA_03,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,240,6.357828929992593e-09,1.0
mic_0001,microseisms,STA_04,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,241,-1.2715657859985184e-08,1.0
mic_0002,microseisms,STA_05,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,test,242,-6.357828929992593e-09,0.9999999403953552
mic_0003,microseisms,STA_06,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,243,-1.2715657859985184e-08,1.0
mic_0004,microseisms,STA_07,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,244,0.0,1.0
mic_0005,microseisms,STA_08,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,test,245,-6.357828929992593e-09,1.0
mic_0006,microseisms,STA_09,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,246,-1.5894572769070692e-08,1.0
mic_0007,microseisms,STA_10,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,247,-4.7683714754498405e-09,1.0
mic_0008,microseisms,STA_11,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,validation,248,1.2715657859985184e-08,1.0
mic_0009,microseisms,STA_12,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,train,249,1.2715657859985184e-08,1.0
mic_0010,microseisms,STA_13,60.0,20.0,proxy_curated_subset,surface-wave-dominated ambient window,validation,250,3.178914464996296e-09,1.0
